customerID,gender,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,Electronic check,29.85,29.85,No
5575-GNVDE,Male,Mailed check,56.95,1889.5,No
3668-QPYBK,Male,Mailed check,53.85,108.15,Yes
7795-CFOCW,Male,Bank transfer (automatic),42.3,1840.75,No
9237-HQITU,Female,Electronic check,70.7,151.65,Yes
9305-CDSKC,Female,Electronic check,99.65,820.5,Yes
1452-KIOVK,Male,Credit card (automatic),89.1,1949.4,No
6713-OKOMC,Female,Mailed check,29.75,301.9,No
7892-POOKP,Female,Electronic check,104.8,3046.05,Yes
6388-TABGU,Male,Bank transfer (automatic),56.15,3487.95,No
9763-GRSKD,Male,Mailed check,49.95,587.45,No
7469-LKBCI,Male,Credit card (automatic),18.95,326.8,No
8091-TTVAX,Male,Credit card (automatic),100.35,5681.1,No
0280-XJGEX,Male,Bank transfer (automatic),103.7,5036.3,Yes
5129-JLPIS,Male,Electronic check,105.5,2686.05,No
3655-SNQYZ,Female,Credit card (automatic),113.25,7895.15,No
8191-XWSZG,Female,Mailed check,20.65,1022.95,No
9959-WOFKT,Male,Bank transfer (automatic),106.7,7382.25,No
4190-MFLUW,Female,Credit card (automatic),55.2,528.35,Yes
4183-MYFRB,Female,Electronic check,90.05,1862.9,No
8779-QRDMV,Male,Electronic check,39.65,39.65,Yes
1680-VDCWW,Male,Bank transfer (automatic),19.8,202.25,No
1066-JKSGK,Male,Mailed check,20.15,20.15,Yes
3638-WEABW,Female,Credit card (automatic),59.9,3505.1,No
6322-HRPFA,Male,Credit card (automatic),59.6,2970.3,No
6865-JZNKO,Female,Bank transfer (automatic),55.3,1530.6,No
6467-CHFZW,Male,Electronic check,99.35,4749.15,Yes
8665-UTDHZ,Male,Electronic check,30.2,30.2,Yes
5248-YGIJN,Male,Credit card (automatic),90.25,6369.45,No
8773-HHUOZ,Female,Mailed check,64.7,1093.1,Yes
3841-NFECX,Female,Credit card (automatic),96.35,6766.95,No
4929-XIHVW,Male,Credit card (automatic),95.5,181.65,No
6827-IEAUQ,Female,Mailed check,66.15,1874.45,No
7310-EGVHZ,Male,Bank transfer (automatic),20.2,20.2,No
3413-BMNZE,Male,Bank transfer (automatic),45.25,45.25,No
6234-RAAPL,Female,Bank transfer (automatic),99.9,7251.7,No
6047-YHPVI,Male,Electronic check,69.7,316.9,Yes
6572-ADKRS,Female,Credit card (automatic),74.8,3548.3,No
5380-WJKOV,Male,Electronic check,106.35,3549.25,Yes
8168-UQWWF,Female,Bank transfer (automatic),97.85,1105.4,Yes
8865-TNMNX,Male,Mailed check,49.55,475.7,No
9489-DEDVP,Female,Credit card (automatic),69.2,4872.35,No
9867-JCZSP,Female,Mailed check,20.75,418.25,No
4671-VJLCL,Female,Credit card (automatic),79.85,4861.45,No
4080-IIARD,Female,Electronic check,76.2,981.45,No
3714-NTNFO,Female,Electronic check,84.5,3906.7,No
5948-UJZLF,Male,Mailed check,49.25,97,No
7760-OYPDY,Female,Electronic check,80.65,144.15,Yes
7639-LIAYI,Male,Credit card (automatic),79.75,4217.8,No
2954-PIBKO,Female,Credit card (automatic),64.15,4254.1,No
8012-SOUDQ,Female,Electronic check,90.25,3838.75,No
9420-LOJKX,Female,Credit card (automatic),99.1,1426.4,Yes
6575-SUVOI,Female,Credit card (automatic),69.5,1752.65,No
7495-OOKFY,Female,Credit card (automatic),80.65,633.3,Yes
4667-QONEA,Female,Credit card (automatic),74.85,4456.35,No
1658-BYGOY,Male,Electronic check,95.45,1752.55,Yes
8769-KKTPH,Female,Credit card (automatic),99.65,6311.2,No
5067-XJQFU,Male,Electronic check,108.45,7076.35,No
3957-SQXML,Female,Credit card (automatic),24.95,894.3,No
5954-BDFSG,Female,Credit card (automatic),107.5,7853.7,No
0434-CSFON,Female,Electronic check,100.5,4707.1,No
1215-FIGMP,Male,Bank transfer (automatic),89.9,5450.7,No
0526-SXDJP,Male,Bank transfer (automatic),42.1,2962,No
0557-ASKVU,Female,Credit card (automatic),54.4,957.1,No
5698-BQJOH,Female,Electronic check,94.4,857.25,Yes
5122-CYFXA,Female,Electronic check,75.3,244.1,No
8627-ZYGSZ,Male,Electronic check,78.9,3650.35,No
3410-YOQBQ,Female,Mailed check,79.2,2497.2,No
3170-NMYVV,Female,Bank transfer (automatic),20.15,930.9,No
7410-OIEDU,Male,Mailed check,79.85,887.35,No
2273-QCKXA,Male,Mailed check,49.05,49.05,No
0731-EBJQB,Female,Electronic check,20.4,1090.65,No
1891-QRQSA,Male,Bank transfer (automatic),111.6,7099,No
8028-PNXHQ,Male,Bank transfer (automatic),24.25,1424.6,No
5630-AHZIL,Female,Bank transfer (automatic),64.5,177.4,No
2673-CXQEU,Female,Electronic check,110.5,6139.5,No
6416-JNVRK,Female,Credit card (automatic),55.65,2688.85,No
5590-ZSKRV,Female,Mailed check,54.65,482.25,No
0191-ZHSKZ,Male,Electronic check,74.75,2111.3,No
3887-PBQAO,Female,Credit card (automatic),25.9,1216.6,No
5919-TMRGD,Female,Electronic check,79.35,79.35,Yes
8108-UXRQN,Female,Electronic check,50.55,565.35,No
9191-MYQKX,Female,Bank transfer (automatic),75.15,496.9,Yes
9919-YLNNG,Female,Bank transfer (automatic),103.8,4327.5,No
